PULSAR,SCREEN,s,s_error,DIST,DIST_error,theta,theta_error,v_meas,v_meas_error,Method,Observations,Notes,REFERENCE
B0329+54,a,0.03,NA,1.03,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0329+54,b,0.09,NA,0.965,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0329+54,c,0.22,NA,0.827,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0329+54,d,0.4,NA,0.636,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
J0613-0200,a,0.62,0.06,0.296,0.0468,16,2,-1.2,2.5,Arc Curvature,Multiyear,Fit to screen from 2014 onwards,Main2020
J0737-3039A,a,0.646,0.04,0.26,0.051,88.6,4.3,25.6,1.5,Scintillation Timescale,Multiyear,Assuming fixed inclination of i=89.3,Stock2025a
B0823+26,a,0.06,NA,0.3384,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0823+26,b,0.25,NA,0.27,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0823+26,c,0.62,NA,0.1368,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0823+26,d,0.72,NA,0.1008,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0834+06,a,0.373,0.008064516,0.389,0.005,155,1,-23,1,VLBI,Single,,Zhu2022
B0834+06,b,0.331,0.017741935,0.415,0.011,136,1,-3,3,VLBI,Single,,Zhu2022
B0919+06,a,0.14,NA,1.032,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0919+06,b,0.52,NA,0.576,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B1133+16,f,0.9853,0.0016,0.00546,0.00059,11.3,2.4,-5.28,0.42,Arc Curvature,Multiyear,,McKee2022
B1133+16,e,0.62,0.08,0.14,0.03,143,4,-90,40,VLBI,Single,,Stock2025b
B1133+16,d,0.47,0.18,0.197,0.067,-52,51,399,230,Arc Curvature,Multiyear,,McKee2022
B1133+16,c,0.52,0.05,0.18,0.02,115,5,50,40,VLBI,Single,,Stock2025b
B1133+16,b,0.33,0.08,0.25,0.03,66,11,-230,90,VLBI,Single,,Stock2025b
J1141-6545,a,0.276,0.008,7.24,0.08,-62,0.4,NA,NA,Scintillation Timescale,Multiyear,,Reardon2019
B1508+55,a,0.93947619,0.000714286,0.1271,0.0015,-11,17,7.3,1.4,Arc Curvature,Multiyear,,Sprenger2022
B1508+55,b,0.076190476,0.058571429,1.94,0.123,-39.8,2,2,55,Arc Curvature,Multiyear,,Sprenger2022
J1603-7202,a,0.25,0.09,2.475,0.22275,50,13,-5,18,Arc Curvature,Multiyear,,Walker2022
J1643-1224,a,0.8925,0.133928571,0.129,0.015,150,4,10,1,Arc Curvature,Multiyear,"Associated with HII region Sh 2-27, anisotropic fit",Mall2022
J1643-1224,b,0.716666667,0.803571429,0.34,0.09,31,9,-6,3,Arc Curvature,Multiyear,Anisotropic fit,Mall2022
B1642-03,a,0.02,NA,2.8518,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B1642-03,b,0.03,NA,2.8227,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B1642-03,c,0.16,NA,2.4444,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
J1745-2900,a,0.626506024,0.072289157,3.1,0.6,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
J1745-2912,a,0.036144578,0.036144578,8,0.3,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
J1746-2849,a,0.108433735,0.084337349,7.4,0.7,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
J1746-2856,a,0.168674699,0.036144578,6.9,0.3,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
B1758-23,a,0.5,0.125,2,0.5,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
B1809-176,a,0.841269841,0.111111111,1,0.7,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
B1822-14,a,0.472727273,0.145454545,2.9,0.8,NA,NA,NA,NA,Angular Broadening,Single,,Dexter2017
B1929+10,a,0.09,NA,0.3549,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B1929+10,b,0.39,NA,0.2379,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B1929+10,c,0.78,NA,0.0858,NA,NA,NA,NA,NA,Arc Curvature,Single,Maximum value for s,PutneyStinebring2006
B0656+14,a,0.099,0.044,0.26,0.014,NA,NA,NA,NA,Arc Curvature,Single,Measured three epochs of Arc Curvature,Yao2022
B0656+14,b,0.36,0.045,0.185,0.015,NA,NA,NA,NA,Arc Curvature,Single,Measured three epochs of Arc Curvature,Yao2022
J0636+5128,a,0.633053221,0.134453782,0.262,0.096,96.98,3.63,-2.01,1.15,Scintillation Timescale,Multiyear,,Liu2023
B1237+25,g,0.691,0.028,267,32,124.7,5.2,-1.2,9.5,Arc Curvature,Multiyear,,Huang2026
B1237+25,h,0.632,0.151,321,130,171.1,10.5,NA,NA,Arc Curvature,Multiyear,,Huang2026
B1237+25,i,0.756,0.224,214,191,175.1,12.7,NA,NA,Arc Curvature,Multiyear,,Huang2026
B1237+25,j,0.723,0.099,241,86,63.7,8.4,-41,37,Arc Curvature,Multiyear,,Huang2026
B1842+14,a,0.85,0.1,240,210,122,12,19,11,Arc Curvature,Multiyear,,Huang2026
B2021+51,d,0.406,0.072,1190,240,172.4,10.9,32.7,9.1,Arc Curvature,Multiyear,,Huang2026
B2021+51,e,0.556,0.041,887,167,20.3,4.3,-12.1,3.8,Arc Curvature,Multiyear,,Huang2026
J0437-4715,1,0.471,0.017,83.03184,2.67019,127,3,-41,1.5,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,2,0.469,0.004,83.34576,0.62828,178,2,-38,2,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,3,0.445,0.003,87.1128,0.47121,131,2,-33.8,0.5,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,4,0.33,0.03,105.1632,4.7121,164,5,-30,7,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,5,0.325,0.006,105.948,0.94242,131,2,-27.6,1.2,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,6,0.289,0.019,111.59856,2.98433,19,4,21,6,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,7,0.27,0.03,114.5808,4.7121,13,8,23,9,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,8,0.251,0.005,117.56304,0.78535,27,3,18,4,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,9,0.178,0.008,129.02112,1.25656,148,3,-23,4,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,10,0.154,0.005,132.78816,0.78535,146,2,-33,2,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,11,0.145,0.004,134.2008,0.62828,161,3,-27,3,Arc Curvature,Multiyear,,Reardon2025
J0437-4715,12,0.086,0.002,143.46144,0.31414,155,2,-21,3,Arc Curvature,Multiyear,,Reardon2025
